"Haydon, Benjamin Robert"
Mentioned In, URL
Letter 5.2987 5–8 May [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2987.html
Letter 5.3110 3 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3110.html
Letter 5.3114 8 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3114.html
Letter 5.3209 14 November 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3209.html
Letter 5.3214 28 November 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3214.html
Letter 6.3228 1 January 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3228.html
Letter 6.3355 3 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3355.html
Letter 6.3601 5 January 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3601.html
Letter 6.3640 24 February 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3640.html
Letters To, URL
Letter 5.3105 27 March 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3105.html
Letter 5.3109 3 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3109.html
Letter 6.3500 [28 June 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3500.html
Letter 6.3537 11 October 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3537.html
