"Hays, Mary"
Letters To:, URL
"Letter 2.785, 23 May 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.785.html
"Letter 2.818, 7 August 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.818.html
"Letter 3.1283, 7 March 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1283.html
Mentioned In:, URL
"Letter 2.408, 13 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.408.html
"Letter 2.409, 15 May 1799 (7 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.409.html
"Letter 2.410, 16 May 1799 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.410.html
"Letter 2.435, 19 September [1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.435.html
"Letter 2.466, [c. 23 December 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.466.html
"Letter 2.477, 16 January 1800 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.477.html
"Letter 2.531, [15 June 1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.531.html
