Heathcote  William
Mentioned In, URL
Letter 6.3333 20 July 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3333.html
Letter 6.3343 13–15 August [1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3343.html
Letter 6.3352 21 September 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3352.html
Letter 6.3486 25 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
Letter 6.3493 16 June [1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3493.html
Letter 6.3690 2 June 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3690.html
Letter 7.3783 25 January 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3783.html
Letter 7.4120 11 January 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4120.html
Letters To, URL
Letter 6.3492 [c. 8 June 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3492.html
Letter 7.4116 2 January [1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4116.html
