Hill  Edward
Mentioned In, URL
Letter 3.1605 27 March [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1605.html
Letter 3.1657 18 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1657.html
Letter 3.1673 31 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1673.html
Letter 3.1675 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1675.html
Letter 3.1695 15 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1695.html
Letter 4.1754 6 March 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1754.html
Letter 4.1767 1 April 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1767.html
Letter 4.1769 8 April 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1769.html
Letter 4.1782 30 May 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1782.html
Letter 4.1787 24 June 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1787.html
Letter 4.1865 5 February 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1865.html
Letter 4.1888 23 March 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1888.html
Letter 4.1937 8 July 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1937.html
Letter 4.1944 16 August 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1944.html
Letter 4.1994 6 December 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1994.html
Letter 4.2027 1 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2027.html
Letter 4.2057 10 March 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2057.html
Letter 4.2283 18 July 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2283.html
Letter 4.2299 5[–7] September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2299.html
