"Hill, Margaret"
Mentioned In, URL
Letter 1.103 7 September 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.113 6 November [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.113.html
Letter 1.116 1 December [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.116.html
Letter 1.207 31 March 1797 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.207.html
Letter 1.275 3 [– 4] December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.275.html
Letter 1.70 22 November–2 December 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.70.html
Letter 2.285 [19 January 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.285.html
Letter 2.286 24[-26] January 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.286.html
Letter 2.329 27 June [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.329.html
Letter 2.337 23–25 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.337.html
Letter 2.353 22 October 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.353.html
Letter 2.354 29 October 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.354.html
Letter 2.369 5 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.369.html
Letter 2.379 12 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.379.html
Letter 2.385 1 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.385.html
Letter 2.394 2 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.394.html
Letter 2.399 18 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.399.html
Letter 2.506 2 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.506.html
Letter 2.539 25 July 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.539.html
Letter 2.540 26 July 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.540.html
Letter 2.542 22 August 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.542.html
Letter 2.543 [started at least one month before and continued on] 23 September–1 October 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.543.html
Letter 2.546 13 September 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.546.html
Letter 2.557 6 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.557.html
Letter 2.560 10 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.564 20[-24] January [1801] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.574 [28 March 1801] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.574.html
Letter 2.580 6 May 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.580.html
Letter 2.586 [c. 29 June-] 12 July 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.586.html
Letter 2.591 11 July [1801] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.591.html
Letter 2.593 26 July 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.593.html
Letter 2.597 3 August 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.597.html
Letter 2.604 [late August/ early September 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.604.html
Letter 2.614 15 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.614.html
Letter 2.634 2-3 December 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.634.html
Letter 2.640 17 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.640.html
Letter 2.750 12 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.750.html
Letter 2.844 [19 October 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.844.html
Letter 2.865 10 December [1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.865.html
Letter 2.875 24 December 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.875.html
Letter 3.1124 24 November 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1124.html
Letter 3.909 [7 March 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.909.html
Letter 5.2801 [c. May 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2801.html
Letters To, URL
