"Hill, Thomas"
Mentioned In, URL
Letter 2.380 12 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.380.html
Letter 2.684 24 June 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.684.html
Letter 3.1020 15 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1020.html
Letter 3.1051 29 March 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1051.html
Letter 3.1098 26 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1098.html
Letter 3.1100 [c. 2 September 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1100.html
Letter 3.1170 22 March [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1170.html
Letter 3.1303 [1 April 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1303.html
Letter 3.1470 20 June 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1470.html
Letter 3.949 7 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.949.html
Letter 3.977 25 August 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.977.html
Letter 3.994 1 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.994.html
Letter 4.1844 24 December 1810 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1844.html
Letter 4.2371 26 January 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2371.html
Letters To, URL
Letter 2.678 [21 May 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.678.html
Letter 4.1843 23 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1843.html
