"Hogg, Edward"
Letters To:, URL
"Letter 4.1819, 20 October 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1819.html
Mentioned In:, URL
"Letter 4.1733, 13 January 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1733.html
"Letter 4.1757, 11 March 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1757.html
"Letter 4.1763, 21 March 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1763.html
"Letter 4.1766, [c. 26 March 1810]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1766.html
"Letter 4.1770, 11 April 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1770.html
"Letter 4.1793, 14 July 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1793.html
"Letter 4.1854.1, 19 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1854.1.html
"Letter 4.2070, [March 1812]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2070.html
"Letter 4.2524, 22 December 1814 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2524.html
