Hogg  James
Mentioned In, URL
Letter 3.1152 4 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1152.html
Letter 3.1358 12 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1358.html
Letter 3.1364 27 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1364.html
Letter 3.1375 26 October 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1375.html
Letter 4.1836 5 December 1810 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1836.html
Letter 4.1964 11 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1964.html
Letter 4.2524 22 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2524.html
Letter 4.2530 27 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2530.html
Letter 4.2546 28 January 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2546.html
Letter 6.3334 [c. 22 July 1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3334.html
Letter 7.4289 8 December 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4289.html
Letters To, URL
Letter 4.2436 7 June 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2436.html
Letter 4.2508 1 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2508.html
Letter 4.2528 24 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2528.html
Letter 6.3737 19 October 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3737.html
