"Hood, Alexander"
Mentioned In, URL
Letter 2.290 3 March 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.290.html
Letter 2.292 8 March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.292.html
Letter 2.308 [30 April 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.308.html
Letter 2.309 1 May [1798] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.309.html
Letter 2.312 5 May 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.312.html
Letter 2.313 6 May [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.313.html
Letter 2.316 [11 May 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.316.html
Letter 2.346 2 September [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.346.html
Letter 2.354 29 October 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.354.html
Letter 2.356 6 November 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.356.html
Letters To, URL
