"Inglis, Robert Harry"
Mentioned In, URL
Letter 5.2899 15 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2899.html
Letter 5.2902 20 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2902.html
Letter 5.2978 [19 April 1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2978.html
Letter 5.2981 28 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2981.html
Letter 5.3120 13 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3120.html
Letter 5.3138 23 May 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3138.html
Letter 6.3296 19 May 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3296.html
Letter 6.3481 12 [May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
Letter 7.3907 14 October 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3907.html
Letter 7.4094 26 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
Letter 7.4097 30 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4097.html
Letter 7.4103 22 December 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4103.html
Letter 7.4183 6 May 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4183.html
Letters To, URL
Letter 5.2895 6 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2895.html
Letter 5.3122 14 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3122.html
Letter 6.3466 15 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3466.html
