Jackson  William
Mentioned In, URL
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 3.1000 10 December [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1000.html
Letter 3.1005 18 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1005.html
Letter 3.1068 19 May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1068.html
Letter 3.1101 2 September [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1101.html
Letter 3.1166 17 March 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1166.html
Letter 3.1204 28[-29] July 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1204.html
Letter 3.1299 27 March 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1299.html
Letter 3.1305 10 April 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1305.html
Letter 3.1321 12 May 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1321.html
Letter 3.1326 25 May 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1326.html
Letter 3.1332 13 June 1807 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1332.html
Letter 3.1339 [end of June 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1339.html
Letter 3.1405 27 December [1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1405.html
Letter 3.1478 11 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1478.html
Letter 3.1495 16 August 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1495.html
Letter 3.1496 16 August 1808 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1496.html
Letter 3.1509 19 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1509.html
Letter 3.1572 28 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1572.html
Letter 3.1600 14–15 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1600.html
Letter 3.1628 13 May 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1628.html
Letter 3.1649 6 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1649.html
Letter 3.1656 17 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1656.html
Letter 3.1661 30 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1661.html
Letter 3.1664 4 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1664.html
Letter 3.1670 17 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1670.html
Letter 3.1675 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1675.html
Letter 3.1678 8 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1678.html
Letter 3.1683 19 September [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1683.html
Letter 3.1690 10 October [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1690.html
Letter 3.1694 14 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1694.html
