"Kenyon, John"
Mentioned In, URL
Letter 5.2997 17[-19] May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2997.html
Letter 5.2999 28 May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2999.html
Letter 5.3041 24 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3041.html
Letter 5.3043 28 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3043.html
Letter 6.3371 26 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3371.html
Letter 6.3385 8 November 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3385.html
Letter 6.3390 17 November 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3390.html
Letter 6.3470 25–29 April 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3470.html
Letter 6.3472 26 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3472.html
Letter 6.3481 12 [May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
Letter 6.3486 25 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
Letter 6.3564 22 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3564.html
Letter 6.3565.1 24 November 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3565.1.html
Letter 6.3714 19 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3714.html
Letter 7.4044 16 July–2 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4044.html
Letters To, URL
Letter 4.2622 25 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2622.html
Letter 5.3038 17 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3038.html
Letter 5.3151 13 June 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.3151.html
Letter 6.3330 17 July 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3330.html
Letter 6.3375 30 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3375.html
Letter 6.3418 15 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3418.html
Letter 6.3444 21 February 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3444.html
Letter 6.3528 19 August 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3528.html
Letter 7.3994 3 April 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3994.html
