"Koster, Henry"
Mentioned In, URL
Letter 4.1924 17 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1924.html
Letter 4.1946 2 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1946.html
Letter 4.2473 22 August 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2473.html
Letter 4.2609 2 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2609.html
Letter 4.2614 12 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2614.html
Letter 4.2624 27 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2624.html
Letter 4.2636 17 July 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2636.html
Letter 4.2641 1 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2641.html
Letter 4.2647 18 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2647.html
Letter 4.2650 29 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2650.html
Letter 4.2651 4 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2651.html
Letter 4.2657 1 October 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2657.html
Letter 5.2699 14 January 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2699.html
Letter 5.2723 23 February 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2723.html
Letter 5.2726 25 February 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2726.html
Letter 5.2733 8 March 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2733.html
Letter 5.2776 1 May 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2776.html
Letter 5.2781 6 May [1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2781.html
Letter 5.2782 6 May 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2782.html
Letter 5.2783 7 May [1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2783.html
Letter 5.2789 15 May 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2789.html
Letter 5.2807 6 June 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2807.html
Letter 5.2821 16 July 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2821.html
Letter 5.2826 25 July 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2826.html
Letter 5.2827 [July 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2827.html
Letter 5.2852 15 October [1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2852.html
Letter 5.2853 18 October 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2853.html
Letter 5.2857 29 October 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2857.html
Letter 5.2860 10 November 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2860.html
Letter 5.2863 16 November 1816 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2863.html
Letter 5.2870 30 November 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2870.html
Letter 5.2876 10 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2876.html
Letter 5.2882 21 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2882.html
Letter 5.2883 22 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2883.html
Letter 5.2898 14 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2898.html
Letter 5.2899 15 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2899.html
Letter 5.2901 19 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2901.html
Letter 5.2933 3 March [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2933.html
Letter 5.2938 12 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2938.html
