Lamb  Charles
Mentioned In, URL
Letter 1.123 [c. 12 January 1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.123.html
Letter 1.210 9 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.210.html
Letter 1.232 11 July 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.232.html
Letter 1.233 11 July [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.233.html
Letter 1.247 15 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.247.html
Letter 1.250 24 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.250.html
Letter 1.272 [12 November 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.272.html
Letter 2.288 18 February 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.288.html
Letter 2.291 7[–8] March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.296 15 March [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.296.html
Letter 2.317 21 May 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.317.html
Letter 2.323 6 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.323.html
Letter 2.328 15 June 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.328.html
Letter 2.342 [started before and continued on] 15 August [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.342.html
Letter 2.345 29 August 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.345.html
Letter 2.363 [28 December 1798] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.363.html
Letter 2.365 2 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.365.html
Letter 2.387 12 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.387.html
Letter 2.403 1-3 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.403.html
Letter 2.406 12 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.406.html
Letter 2.410 16 May 1799 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.410.html
Letter 2.459 5 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.459.html
Letter 2.466 [c. 23 December 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.466.html
Letter 2.470 27 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.470.html
Letter 2.615 16 October 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.615.html
Letter 2.617 16 October 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.617.html
Letter 2.629 20 November [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.629.html
Letter 2.631 27 November 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.631.html
Letter 2.638 11 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.638.html
Letter 2.642 21 December 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.642.html
Letter 2.651 [c. 17 January 1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.651.html
Letter 2.655 [started before and continued on] 6 February [1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.655.html
Letter 2.657 [started before and continued on] 17 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.657.html
Letter 2.693 12 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.693.html
Letter 2.724 5 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.724.html
Letter 2.727 14 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.727.html
Letter 2.728 18 October 1802 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.728.html
Letter 2.751 12 January 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.751.html
Letter 2.771 [8 April 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.771.html
Letter 2.793 8 June 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.793.html
Letter 2.815 2 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.815.html
Letter 3.1005 18 December 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1005.html
Letter 3.1024 23 January [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1024.html
Letter 3.1037 [started before and continued on] 17 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1037.html
Letter 3.1041 1 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1041.html
Letter 3.1064 [1 May 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1064.html
Letter 3.1067 18 May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1067.html
Letter 3.1071 [25 May 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1071.html
Letter 3.1110 4 October 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1110.html
Letter 3.1131 10 December [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1131.html
Letter 3.1132 10 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1132.html
Letter 3.1133 17 December 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1133.html
