"Lamb, Mary Anne"
Mentioned In, URL
Letter 2.631 27 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.631.html
Letter 2.638 11 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.638.html
Letter 2.642 21 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.642.html
Letter 2.655 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.655.html
Letter 2.657 [started before and continued on] 17 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.657.html
Letter 2.693 12 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.693.html
Letter 2.724 5 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.724.html
Letter 2.728 18 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.728.html
Letter 2.751 12 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.751.html
Letter 2.771 [8 April 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.771.html
Letter 2.815 2 August 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.815.html
Letter 3.1064 [1 May 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1064.html
Letter 3.886 20 January 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.886.html
Letter 3.904 [1–]5 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.904.html
Letter 7.4088 [19 November 1823],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4088.html
Letter 7.4089 21 November 1823 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4089.html
Letter 7.4094 26 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
Letters To, URL
