Lamb  Thomas Davis
Mentioned In, URL
Letter 1.1 [c. June 1791?] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.1.html
Letter 1.11 [c. 31 May 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.11.html
Letter 1.14 [c. mid June 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.14.html
Letter 1.162 26 June 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.17 [c. 9 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.17.html
Letter 1.170 29 August [–7 September] 1796 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.170.html
Letter 1.178 25 September [–14 October] 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.178.html
Letter 1.18 [c. 18 July 1792] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.18.html
Letter 1.19 [c. 31 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.19.html
Letter 1.24 [c. 26 September 1792] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.24.html
Letter 1.27 [c. 6 October 1792] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.27.html
Letter 1.28 21 October 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.28.html
Letter 1.29 28 October [1792] (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.29.html
Letter 1.31 [c. 23 November 1792] (11 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.31.html
Letter 1.32 29 November [1792] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.32.html
Letter 1.34 6 December 1792 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.34.html
Letter 1.39 12 [–13] January [1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.39.html
Letter 1.41 [23 January 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.41.html
Letter 1.46 3 April [1793] (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.46.html
Letter 1.51 8–16 June 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.51.html
Letter 1.64 30 October–7 November 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.64.html
Letter 1.73 [started before and continued on] 14 December [1793] (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.73.html
Letter 1.79 [c. early 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.79.html
Letter 1.81 2 [–5] February 1794 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.81.html
Letter 2.326 13 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.326.html
Letter 2.560 10 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.699 26 July [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.699.html
Letter 2.700 30 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.700.html
Letter 2.715 5 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.715.html
Letter 5.3148 7 June 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3148.html
Letters To, URL
Letter 1.15 [c. 18 June 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.15.html
Letter 1.20 [c. 31 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.20.html
Letter 1.31 [c. 23 November 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.31.html
Letter 1.41 [23 January 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.41.html
Letter 1.49 17–29 May 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.49.html
Letter 1.8 [c. 26 April 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.8.html
