"Landor, Julia Thuillier"
Mentioned In, URL
Letter 4.1918 8 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1918.html
Letter 4.2033 9 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2033.html
Letter 4.2079 16 April 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2079.html
Letter 4.2144 11 September 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2144.html
Letter 4.2331 16 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2331.html
Letter 4.2549 5 February 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2549.html
Letter 5.3004 2 July 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3004.html
Letter 7.4052 8 August 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4052.html
Letter 7.4074 24 October 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4074.html
Letters To, URL
