"Landor, Robert
						Eyres"
Letters To:, URL
"Letter 4.2455, 4 July 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2455.html
"Letter 5.3058, 27 December 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3058.html
Mentioned In:, URL
"Letter 4.1978, 4 November 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1978.html
"Letter 4.2199, 5 January 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2199.html
"Letter 5.3001, 14 June 1817 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3001.html
"Letter 5.3004, 2 July 1817 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3004.html
"Letter 5.3059, 27 December 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3059.html
"Letter 6.3230, 3 January 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3230.html
"Letter 6.3524, 14 August 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3524.html
