"Lightfoot,
						Nicholas"
Letters To:, URL
"Letter 1.169, 28 August 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.169.html
"Letter 1.266, 21 October 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.266.html
"Letter 1.44, 25 March 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.44.html
"Letter 1.59, 27–30 September 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.59.html
"Letter 1.75, 22 December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.75.html
"Letter 2.359, 4 December 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.359.html
"Letter 3.1077, [June 1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1077.html
"Letter 3.1153, 8 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1153.html
"Letter 3.1310, 24 April 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1310.html
"Letter 3.1324, [c. 18 May 1807]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1324.html
"Letter 3.1328, 28 May 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1328.html
"Letter 4.1741, 5 February 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1741.html
"Letter 4.2370, 25 January 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2370.html
"Letter 4.2618, 18 June 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2618.html
"Letter 5.2801, [c. May 1816]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2801.html
"Letter 6.3305, 29 May 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3305.html
"Letter 6.3690, 2 June 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3690.html
"Letter 7.3844, 22 May 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3844.html
"Letter 7.3883, 14 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3883.html
"Letter 7.3897, 16 September 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3897.html
"Letter 7.3915, 8–12 November 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3915.html
"Letter 7.3954, 20 January 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3954.html
"Letter 7.3979, 14 March 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3979.html
"Letter 7.4017, 12 May 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4017.html
"Letter 7.4063, 23 September 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4063.html
"Letter 7.4104, 22 December 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4104.html
"Letter 7.4128, 27 January 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4128.html
"Letter 7.4136, 18 February 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4136.html
"Letter 7.4154, 12 March 18[24]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4154.html
"Letter 7.4201, 16 June 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4201.html
"Letter 7.4214, 16 July 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4214.html
"Letter 7.4273, 1 November 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4273.html
Mentioned In:, URL
"Letter 1.159, [started before and continued on 12 June 1796] (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
"Letter 1.169, 28 August 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.169.html
"Letter 1.231, 9 July 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.231.html
"Letter 1.280, 24 December 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.280.html
"Letter 1.44, 25 March 1793 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.44.html
"Letter 1.59, 27–30 September 1793 (19 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.59.html
"Letter 1.63, 29 [–30] October 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.63.html
"Letter 1.66, 3[–4] November 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.66.html
"Letter 1.73, [started before and continued on] 14 December
[1793] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.73.html
"Letter 1.75, 22 December 1793 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.75.html
"Letter 1.80, 24 January–18 February 1794 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.80.html
