"Liverpool, Lord: Jenkinson"
Mentioned In, URL
Letter 4.2069 31 March 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2069.html
Letter 4.2101 27 May 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2101.html
Letter 4.2109 6 [June] 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2109.html
Letter 4.2111 after 8 June 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2111.html
Letter 4.2115 16 June 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2115.html
Letter 4.2305 20 September 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2305.html
Letter 4.2307 21 September 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2307.html
Letter 4.2313 16[–22] October 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2313.html
Letter 4.2323 5 November 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2323.html
Letter 4.2327 11 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2327.html
Letter 4.2331 16 November 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2331.html
Letter 4.2334 18 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2334.html
Letter 4.2335 25 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2335.html
Letter 4.2370 25 January 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2370.html
Letter 4.2507 30 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2507.html
Letter 4.2585 10 April 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2585.html
Letter 4.2589 21 April 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2589.html
Letter 5.2835 7 September 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2835.html
Letter 5.2837 9 September 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2837.html
Letter 5.2842 [14 September 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2842.html
Letter 5.2930 28 February 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2930.html
Letter 5.3214 28 November 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3214.html
Letter 6.3335 22 July 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3335.html
Letter 6.3362 13 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3362.html
Letter 6.3379 5 November 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3379.html
Letter 6.3420 [c. 18 January 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3420.html
Letter 6.3507 6 July 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3507.html
Letter 6.3690 2 June 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3690.html
Letter 6.3709 4 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3709.html
Letter 7.3832 1 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3832.html
Letter 7.3913 2 November 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3913.html
Letters To, URL
