"Locker, Edward
						Hawke"
Letters To:, URL
"Letter 6.3411, 1 January 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3411.html
"Letter 7.3829, 22 April 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3829.html
"Letter 7.3944, 31 December 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3944.html
"Letter 7.3984, 21 March 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3984.html
"Letter 7.4093, 26 November [1823]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4093.html
"Letter 7.4156, 13 March 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4156.html
Mentioned In:, URL
"Letter 4.2592, 1[–2] May 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2592.html
"Letter 4.2657, 1 October 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2657.html
"Letter 4.2659, 3 October 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2659.html
"Letter 7.3887, 28 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3887.html
"Letter 7.3889, 30 August 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3889.html
"Letter 7.3896, 13 September 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3896.html
"Letter 7.4049, 26 July 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4049.html
"Letter 7.4094, 26 November 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
"Letter 7.4152, [begun before and continued on] 7 [March
1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4152.html
