"Losh, James"
Letters To:, URL
"Letter 2.299, 28 March [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.299.html
Mentioned In:, URL
"Letter 1.187, [started before 11 November 1796; continued 17 November
1796] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.187.html
"Letter 1.204, 13 March 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.204.html
"Letter 2.477, 16 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.477.html
"Letter 2.659, 23 February [1802] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.659.html
"Letter 2.664, 23 March 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.664.html
"Letter 2.667, 30 March 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.667.html
"Letter 2.668, 5 April 1802 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.668.html
"Letter 2.671, 18 April [1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.671.html
"Letter 3.1151, 3 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1151.html
"Letter 3.1156, 11 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1156.html
"Letter 3.1157, 15 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1157.html
"Letter 3.1163, 5 March 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1163.html
"Letter 3.1515, 30 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1515.html
"Letter 3.1603, 20 March 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1603.html
"Letter 3.1640, 2 June [1809]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1640.html
"Letter 3.1643, 15 June 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1643.html
"Letter 3.1644, 15 June 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1644.html
"Letter 3.1657, 18 July 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1657.html
"Letter 3.1703, [c. 26 October 1809]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1703.html
"Letter 4.1780, 27–28 May 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1780.html
"Letter 4.1785, 13 June 1810 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1785.html
"Letter 4.1889, 24 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1889.html
"Letter 4.2093, 9 May 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2093.html
"Letter 4.2116, 17[–19] June 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2116.html
"Letter 5.2720, 20 February 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2720.html
