Maber  George Martin
Mentioned In, URL
Letter 1.142 29 [–30] November 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.142.html
Letter 1.144 [possibly begun before 15 December 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.144.html
Letter 1.147 [started before and continued on] 19 February 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.147.html
Letter 1.149 24 February – 2 March 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
Letter 1.207 31 March 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.207.html
Letter 2.349 26 September 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.349.html
Letter 2.351 5 October [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.351.html
Letter 2.352 14[–15] October 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.352.html
Letter 2.353 22 October 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.353.html
Letter 2.357 11 November 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.357.html
Letter 2.401 [c. 24 April 1799] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.401.html
Letter 2.531 [15 June 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.531.html
Letter 2.654 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.654.html
Letter 2.720 [21-]23 September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.720.html
Letters To, URL
