Maurice  Michael
Mentioned In, URL
Letter 2.362 27 December 1798 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.362.html
Letter 2.365 2 January 1799 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.365.html
Letter 2.368 4 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.368.html
Letter 2.369 5 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.369.html
Letter 2.379 12 February 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.379.html
Letter 2.384 26 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.384.html
Letter 2.385 1 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.385.html
Letter 2.392 28 March 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.392.html
Letter 2.398 15 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.398.html
Letter 2.423 19–22 July 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.423.html
Letter 2.429 21 August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.429.html
Letter 2.506 2 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.506.html
Letter 2.544 25 August 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.544.html
Letter 2.558 26 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.558.html
Letters To, URL
Letter 2.487 7 February 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.487.html
