"Morgan, Mary"
Mentioned In, URL
Letter 2.291 7[–8] March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.832 29 August [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.832.html
Letter 2.836 8 September [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.836.html
Letter 3.1577 6 February 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1577.html
Letter 4.2073 c. 6 April 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2073.html
Letter 4.2299 5[–7] September 1813 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2299.html
Letter 4.2301 16 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2301.html
Letter 4.2309 28 September –1 October] 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2309.html
Letter 4.2311 8 October 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2311.html
Letter 4.2313 16[–22] October 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2313.html
Letter 4.2318 28 October 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2318.html
Letter 4.2326 10 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2326.html
Letter 4.2403 17 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2403.html
Letter 4.2410 after 27 April 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2410.html
Letter 4.2562 2 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2562.html
Letter 5.2742 20 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2742.html
Letter 6.3395 3 December 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3395.html
Letter 6.3448 1 March 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3448.html
Letters To, URL
Letter 6.3565.1 24 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3565.1.html
