Nares  Robert
Mentioned In, URL
Letter 1.136 1–10 October 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
Letter 1.182 13 October 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.182.html
Letter 1.187 [started before 11 November 1796; continued 17 November 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.187.html
Letter 1.193 1–7 January 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.193.html
Letter 1.195 [26 January 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.195.html
Letter 1.251 24 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.251.html
Letter 1.26 [c. 6 October 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.26.html
Letter 2.340 3 August [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.340.html
Letter 2.468 25 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.468.html
Letter 2.622 29 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.622.html
Letter 3.1058 13 April 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1058.html
Letter 6.3715 19–20 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3715.html
Letter 6.3718 23 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3718.html
Letter 6.3722 31 August 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3722.html
Letters To, URL
