"Nichols, John"
Letters To:, URL
"Letter 2.497, 20 March [1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.497.html
"Letter 3.974, 6 August 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.974.html
Mentioned In:, URL
"Letter 2.497, 20 March [1800]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.497.html
"Letter 4.2301, 16 September 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2301.html
"Letter 6.3560, 17 November 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3560.html
"Letter 7.3921, 22 November 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3921.html
"Letter 7.3938, 20 December 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3938.html
