"Parsons, William"
Mentioned In, URL
Letter 4.2328 15 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2328.html
Letter 4.2330 16 November 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2330.html
Letter 4.2338 30 November 1813 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2338.html
Letter 4.2340 5 December [1813],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2340.html
Letter 4.2341 5 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2341.html
Letter 4.2342 8 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2342.html
Letter 4.2343 9 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2343.html
Letter 4.2349 15 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2349.html
Letter 4.2357 28 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2357.html
Letter 4.2358 late December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2358.html
Letter 4.2512 6 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2512.html
Letter 4.2517 16 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2517.html
Letter 4.2523 21 December 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2523.html
Letter 4.2533 29–30 December 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2533.html
Letter 4.2534 31 December [1814],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2534.html
Letter 4.2548 3 February 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2548.html
Letter 4.2685 19 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2685.html
Letter 5.2691 7 January 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2691.html
Letter 5.2877 13 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2877.html
Letter 5.2881 [21 December 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2881.html
Letter 5.2884 23 December 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2884.html
Letter 5.3050 15 December 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3050.html
Letter 5.3221 21 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3221.html
Letters To, URL
