Peacock  [unknown]
Mentioned In, URL
Letter 1.199 [7 February 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.199.html
Letter 1.201 [c. 17 February 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.201.html
Letter 1.203 6 March 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.203.html
Letter 1.204 13 March 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.204.html
Letter 1.210 9 April 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.210.html
Letter 1.212 26 April 1797 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
Letter 1.214 2 May [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
Letter 1.215 [before 6 May – 6 May 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.215.html
Letter 1.217 [c. 18 May 1797] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
Letter 5.2748 30 March 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2748.html
Letter 5.2907 27 January [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2907.html
Letters To, URL
