Pemberton  Sophia
Mentioned In, URL
Letter 1.219 26–[28] May [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.219.html
Letter 1.250 24 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.250.html
Letter 1.261 6 October 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.261.html
Letter 2.295 12 March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.295.html
Letter 2.303 6 April 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.303.html
Letter 2.311 5 May [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.311.html
Letter 2.323 6 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.323.html
Letter 2.409 15 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.409.html
Letter 3.1131 10 December [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1131.html
Letter 3.1204 28[-29] July 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1204.html
Letter 3.1513 27 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1513.html
Letter 3.1712 22 November 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1712.html
Letter 4.2053 5 March 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2053.html
Letter 4.2057 10 March 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2057.html
Letter 4.2140 28 August 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2140.html
Letter 4.2267 6 June 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2267.html
Letter 4.2689 28 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2689.html
Letter 5.2720 20 February 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2720.html
Letter 5.2723 23 February 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2723.html
Letter 5.2960 31 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2960.html
Letter 5.2961 1 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2961.html
Letter 5.3101 Easter Eve [22 March] 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3101.html
Letter 5.3102 23 March 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3102.html
Letter 7.4188 17 May 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4188.html
Letters To, URL
