"Phillimore, Joseph"
Mentioned In, URL
Letter 1.149 24 February – 2 March 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.149.html
Letter 1.17 [c. 9 July 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.17.html
Letter 1.26 [c. 6 October 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.26.html
Letter 1.32 29 November [1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.32.html
Letter 1.38 8 January 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.38.html
Letter 1.40 16 [–21] January [1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.40.html
Letter 1.41 [23 January 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.41.html
Letter 1.49 17–29 May 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.49.html
Letter 2.705 [13 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.705.html
Letter 6.3493 16 June [1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3493.html
Letter 6.3499 26 June 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3499.html
Letter 6.3524 14 August 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3524.html
Letter 6.3752 1 December 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3752.html
Letter 7.3808 27 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3808.html
Letter 7.3814 19 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3814.html
Letter 7.3844 22 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3844.html
Letter 7.3919 17 November 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3919.html
Letter 7.4042 13 July 1823 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4042.html
Letter 7.4046 18 July 1823 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4046.html
Letter 7.4242 6 September 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4242.html
Letters To, URL
