Poole  Thomas
Mentioned In, URL
Letter 2.410 16 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.410.html
Letter 2.428 20 August 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.428.html
Letter 2.429 21 August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.429.html
Letter 2.430 [25] August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.430.html
Letter 2.434 6 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.434.html
Letter 2.435 19 September [1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.435.html
Letter 2.472 [started before and continued on] 1 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.472.html
Letter 2.482 28 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.482.html
Letter 2.652 26 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.652.html
Letter 2.653 [28 January 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.653.html
Letter 2.659 23 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.659.html
Letter 2.681 2 June 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.681.html
Letter 3.1011 31 December 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1011.html
Letter 3.1162 [c. early March 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1162.html
Letter 3.1221 28–29 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1221.html
Letter 3.1332 13 June 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1332.html
Letter 3.1436 22 March [1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1436.html
Letter 3.1437 [28 March 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1437.html
Letter 3.1440 [3 April 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1440.html
Letter 3.1442 16 April 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1442.html
Letter 3.1536 18 November 1808 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1536.html
Letter 3.1542 24 November 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1542.html
Letter 3.1582 18 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1582.html
Letter 3.879 7 January 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.879.html
Letter 3.891 31 January 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.891.html
Letter 3.894 8 February 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.894.html
Letter 3.899 19 February 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.899.html
Letter 3.910 9 March 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.910.html
Letter 3.951 11 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.951.html
Letter 4.1797 1 August 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1797.html
Letter 4.1910 23 April 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1910.html
Letter 4.1928 31 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1928.html
Letter 4.1938 15–16 July 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1938.html
Letter 4.1947 4 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1947.html
Letter 4.1948 5 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1948.html
Letter 4.2163 25 October 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2163.html
Letter 4.2404 18 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2404.html
Letter 4.2410 after 27 April 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2410.html
Letter 4.2480 10 September 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2480.html
Letter 4.2485 12 October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2485.html
Letter 4.2493 27 October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2493.html
Letter 4.2498 9 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2498.html
