Proby  John Joshua
Mentioned In, URL
Letter 1.128 [started before and continued on] 25 May [1795] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.128.html
Letter 1.135 [c. 1 October 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.135.html
Letter 1.136 1–10 October 1795,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.136.html
Letter 1.182 13 October 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.182.html
Letter 1.191 [c. 8 December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.191.html
Letter 1.251 24 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.251.html
Letter 1.256 12 September [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.256.html
Letter 1.274 19 November 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.274.html
Letter 2.294 10 March [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.294.html
Letter 4.1775 [c. 2 May 1810],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1775.html
Letter 4.1784 12 June 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1784.html
Letter 4.2600 20 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2600.html
Letter 4.2601 c. 20 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2601.html
Letters To, URL
