"Proby, William Allen"
Mentioned In, URL
Letter 2.290 3 March 1798 (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.290.html
Letter 2.291 7[–8] March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.291.html
Letter 2.292 8 March 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.292.html
Letter 2.294 10 March [1798] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.294.html
Letter 2.295 12 March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.295.html
Letter 2.296 15 March [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.296.html
Letter 2.312 5 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.312.html
Letters To, URL
