"Pughe, William
						Owen"
Letters To:, URL
"Letter 1.244, 9 August 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.244.html
Mentioned In:, URL
"Letter 1.175, 6 September 1796 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.175.html
"Letter 1.181, [10 October 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.181.html
"Letter 1.185, 3 November 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.185.html
"Letter 1.194, 5 January 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.194.html
"Letter 1.203, 6 March 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.203.html
"Letter 1.205, 6 March 1797 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.205.html
"Letter 2.601, 19 August 1801 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.601.html
"Letter 2.668, 5 April 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.668.html
"Letter 2.675, 10 May 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.675.html
"Letter 2.816, 3 August 1803",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.816.html
"Letter 3.1006, 18 December 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1006.html
"Letter 3.1075, [started before and continued on 22 June
1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1075.html
"Letter 3.1134, 18 December [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1134.html
"Letter 3.1144, [10 January 1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1144.html
"Letter 3.1145, 10 January [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1145.html
"Letter 3.1189, 27 May 1806 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1189.html
"Letter 3.1341, [July 1807] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1341.html
"Letter 3.1379, 16 November 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1379.html
"Letter 3.1380, 16 November 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1380.html
"Letter 3.1403, 22 December 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1403.html
"Letter 3.1412, 4 January 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1412.html
"Letter 3.1450, 28 April 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1450.html
"Letter 3.1458, 15 May 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1458.html
"Letter 3.1542, 24 November 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1542.html
"Letter 3.1602, 18 March 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1602.html
"Letter 3.948, 6 June 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.948.html
"Letter 3.951, 11 June 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.951.html
"Letter 3.955, 16 June 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.955.html
"Letter 3.958, 1 July 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.958.html
"Letter 3.995, [started before and continued on 4 December
1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.995.html
"Letter 3.998, 7 December [1804] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.998.html
"Letter 3.999, 7 December 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.999.html
"Letter 4.1762, 20 March 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1762.html
"Letter 6.3536, 8 October [1820] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3536.html
"Letter 7.3946, 3 January 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3946.html
