"Reid, Samuel"
Mentioned In, URL
Letter 2.546 13 September 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.546.html
Letter 2.557 6 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.557.html
Letter 2.560 10 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.849 7 November 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.849.html
Letter 2.872 23 December 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.872.html
Letter 3.1052 March–5 April [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1052.html
Letter 3.1061 18 April 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1061.html
Letter 3.1072 3 June 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1072.html
Letter 3.1242 [12 December 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1242.html
Letter 3.1268 30 January 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1268.html
Letter 3.1308 20 April 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1308.html
Letter 3.1347 28 July 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1347.html
Letter 3.1353 20 August 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1353.html
Letter 3.1361 20 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1361.html
Letter 3.892 1 February 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.892.html
Letter 3.959 2 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.959.html
Letter 4.2016 13 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2016.html
Letter 4.2054 6 March 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2054.html
Letter 4.2120 3 July 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2120.html
Letter 4.2124 18 July 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2124.html
Letter 4.2126 28 July 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2126.html
Letter 4.2165 29 October 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2165.html
Letter 4.2188 6 December 1812 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2188.html
Letter 4.2199 5 January 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2199.html
Letter 4.2269 15 June 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2269.html
Letter 5.2985 5 May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2985.html
Letters To, URL
Letter 3.1289 15 March 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1289.html
Letter 3.1361 20 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1361.html
Letter 3.1544 28 November 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1544.html
Letter 4.2187 5 December 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2187.html
