Rickman  John
Mentioned In, URL
Letter 1.224 [18 June 1797?],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.224.html
Letter 1.235 16 [– 17] July 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.235.html
Letter 1.257.1 17 September [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.257.1.html
Letter 1.263 16 October 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.263.html
Letter 1.279 24 December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.279.html
Letter 2.313 6 May [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.313.html
Letter 2.444 11 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.444.html
Letter 2.451 26 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.451.html
Letter 2.454 12 November 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.454.html
Letter 2.458 29 November[–1 December] 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.458.html
Letter 2.477 16 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.477.html
Letter 2.481 [started before and continued on] 27 January 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.481.html
Letter 2.490 18 February 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.490.html
Letter 2.495 [12 March 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.495.html
Letter 2.500 23 March 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.500.html
Letter 2.501 24 March 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.501.html
Letter 2.502 [started ‘some weeks’ before and continued on] 26 March [1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.502.html
Letter 2.504 27 March 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.504.html
Letter 2.506 2 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.506.html
Letter 2.508 8 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.508.html
Letter 2.513 19 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.513.html
Letter 2.514 [c. 20 April 1800] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.514.html
Letter 2.516 [1] May [1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.516.html
Letter 2.520 2 May 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.520.html
Letter 2.524 9 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.524.html
Letter 2.531 [15 June 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.531.html
Letter 2.542 22 August 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.542.html
Letter 2.544 25 August 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.544.html
Letter 2.546 13 September 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.546.html
Letter 2.548 [1 October 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.548.html
Letter 2.549 [October 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.549.html
Letter 2.553 29 October 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.553.html
Letter 2.556.1 2 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.556.1.html
Letter 2.557 6 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.557.html
Letter 2.560 10 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.564 20[-24] January [1801] (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.569 21 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.569.html
Letter 2.585 [mid-June-]21 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.585.html
Letter 2.596 1 August 1801 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.596.html
Letter 2.598 17 August 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.598.html
Letter 2.599 19 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.599.html
Letter 2.608 29 September 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.608.html
Letter 2.610 3 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.610.html
Letter 2.611 6 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.611.html
Letter 2.613 14 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.613.html
Letter 2.614 15 October 1801 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.614.html
Letter 2.615 16 October 1801 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.615.html
