Roberts  Edward
Mentioned In, URL
Letter 4.1768 4 April 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1768.html
Letter 4.1920 10 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1920.html
Letter 4.2306 21 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2306.html
Letter 4.2509 2 December 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2509.html
Letter 4.2513 11 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2513.html
Letter 4.2517 16 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2517.html
Letter 4.2533 29–30 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2533.html
Letter 5.2761 18-[19] April 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2761.html
Letter 7.4187 [16 May 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4187.html
Letters To, URL
Letter 4.2519 16 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2519.html
