Roscoe  William
Mentioned In, URL
Letter 2.343 26 August 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.343.html
Letter 2.569 21 February 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.569.html
Letter 2.578 30 April 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.578.html
Letter 3.1089 28 July [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1089.html
Letter 3.1091 5 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1091.html
Letter 3.1092 10 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1092.html
Letter 3.1096 24 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1096.html
Letter 3.1098 26 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1098.html
Letter 3.1146 11 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1146.html
Letter 3.1147 15 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1147.html
Letter 3.1148 17 January [1806] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1148.html
Letter 3.1156 11 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1156.html
Letter 3.1162 [c. early March 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1162.html
Letter 3.1237 11 November 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1237.html
Letter 3.1353 20 August 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1353.html
Letter 3.1429 25 [February 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1429.html
Letter 3.1431 [12 March 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1431.html
Letter 3.1466 13 June 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1466.html
Letter 3.1479 11 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1479.html
Letter 3.1480 16 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1480.html
Letter 3.1484 [July 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1484.html
Letter 3.1513 27 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1513.html
Letter 3.1586 21 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1586.html
Letter 3.1635 24 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1635.html
Letter 3.1675 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1675.html
Letter 3.1712 22 November 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1712.html
Letter 3.939 11 May [1804] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.939.html
Letter 3.968 22 July [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.968.html
Letter 3.970 30 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.970.html
Letter 3.975 6 August 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.975.html
Letter 4.1952 8 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1952.html
Letter 4.2135 14 August 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2135.html
Letter 4.2442 15 June 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2442.html
Letter 4.2476 2 September 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2476.html
Letter 4.2482 25 September 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2482.html
Letter 4.2568 9 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2568.html
Letter 5.2844 16 September 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2844.html
Letter 6.3676 Easter Monday [23 April] 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3676.html
Letter 7.4286 3 December 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4286.html
Letters To, URL
Letter 2.339 26 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.339.html
