"Rosser, Robert"
Mentioned In, URL
Letter 1.170 29 August [–7 September] 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.170.html
Letter 1.189 [c. early December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.189.html
Letter 1.191 [c. 8 December 1796] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.191.html
Letter 1.212 26 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.212.html
Letter 1.214 2 May [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
Letter 1.217 [c. 18 May 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.217.html
Letter 1.278 14 December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.278.html
Letters To, URL
