"Rough, William"
Mentioned In, URL
Letter 1.2 10 [–11] December 1791,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.2.html
Letter 1.22 [c. summer/ autumn 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.22.html
Letter 1.258 [22 September 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.258.html
Letter 1.32 29 November [1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.32.html
Letter 1.34 6 December 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.34.html
Letter 1.4 [c. 14 April 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.4.html
Letter 1.50 [c. 3 June 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.50.html
Letter 1.51 8–16 June 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.51.html
Letter 1.9 [c. 5 May 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.9.html
Letter 2.592 25 July [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.592.html
Letter 2.618 [c. 16 October 1801] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.618.html
Letter 2.670b 15-16 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.670b.html
Letter 3.1619 27 April [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1619.html
Letter 3.990 [21 November 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.990.html
Letter 3.993 27 November 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.993.html
Letter 3.994 1 December 1804 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.994.html
Letter 4.1870 12 February 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1870.html
Letters To, URL
