Sayers  Frank
Mentioned In, URL
Letter 3.1174 12 April 1806 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1174.html
Letter 3.1180 14 May [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1180.html
Letter 3.1189 27 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1189.html
Letter 3.1253 30 December 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1253.html
Letter 3.924 [11] April [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.924.html
Letter 3.992 23 November 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.992.html
Letter 4.1767 1 April 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1767.html
Letter 4.1999 15 December 1811 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1999.html
Letter 4.2384 2 March 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2384.html
Letter 4.2530 27 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2530.html
Letter 7.4308 31 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4308.html
Letters To, URL
