"Senhouse, Humphrey"
Mentioned In, URL
Letter 3.1224 11 October 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1224.html
Letter 3.1366 2 October 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1366.html
Letter 3.1405 27 December [1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1405.html
Letter 3.1471 22 June 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1471.html
Letter 3.1472 23–24 June 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1472.html
Letter 3.1478 11 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1478.html
Letter 3.1486 3 August 1808 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1486.html
Letter 3.1504 9 September 1808 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1504.html
Letter 3.1512 27 September 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1512.html
Letter 3.1513 27 September 1808 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1513.html
Letter 3.1516 [September/October 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1516.html
Letter 3.1520 13 October 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1520.html
Letter 3.1526 30 October 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1526.html
Letter 3.1648 6 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1648.html
Letter 3.1654 13 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1654.html
Letter 3.1657 18 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1657.html
Letter 3.1662 3 August 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1662.html
Letter 3.1665 7 August 1809 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1665.html
Letter 3.1667 10 August 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1667.html
Letter 3.1668 10 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1668.html
Letter 3.1669 12 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1669.html
Letter 3.1671 17–20 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1671.html
Letter 3.1673 31 August 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1673.html
Letter 3.1675 4 September 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1675.html
Letter 3.1681 [mid-September 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1681.html
Letter 3.1690 10 October [1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1690.html
Letter 3.1698 20 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1698.html
Letter 4.1952 8 September 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1952.html
Letter 4.2587 13 April 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2587.html
Letter 5.2784 8 May 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2784.html
Letter 5.2873 6 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2873.html
Letter 5.2908 28 January 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2908.html
Letter 5.2916 14 February 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2916.html
Letter 5.2926 23 February 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2926.html
Letter 5.2930 28 February 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2930.html
Letter 5.2938 12 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2938.html
Letter 5.2940 14 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2940.html
Letter 5.2945 18 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2945.html
Letter 5.2949 21 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2949.html
