"Seton, Barbara"
Mentioned In, URL
Letter 2.560 10 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.561 16 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.561.html
Letter 2.566 12 February-28 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.566.html
Letter 2.571 27 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.571.html
Letter 2.573 28 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.573.html
Letter 2.574 [28 March 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.574.html
Letter 2.575 3 April 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.575.html
Letter 2.582 23 May 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.582.html
Letter 2.634 2-3 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.634.html
Letter 2.642 21 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.642.html
Letter 2.716 5 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.716.html
Letter 3.1398 16 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1398.html
Letter 3.967 19 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.967.html
Letter 4.2301 16 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2301.html
Letter 4.2308 25 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2308.html
Letter 7.3954 20 January 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3954.html
Letters To, URL
Letter 2.589 [7 July 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.589.html
Letter 2.606 [7 September 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.606.html
Letter 2.623 [late October/ early November 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.623.html
Letter 2.665 [24 March 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.665.html
Letter 2.776 [28 April 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.776.html
Letter 2.789 [c. June 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.789.html
Letter 3.1176 [21 April 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1176.html
Letter 3.953 [13 June 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.953.html
Letter 3.969 25 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.969.html
Letter 4.1759 14 March [1810],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1759.html
