"Seward Family"
Mentioned In, URL
Letter 1.129 [14 June 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.129.html
Letter 1.132 [12 July 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.132.html
Letter 1.266 21 October 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.266.html
Letter 1.45 [31 March 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.45.html
Letter 1.49 17–29 May 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.49.html
Letter 1.57 18 September 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.57.html
Letter 1.71 11 December 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.71.html
Letter 1.77 [c. 26 December 1793],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.77.html
Letter 1.89 11 [–18] May 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.89.html
Letter 1.95 25 June 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.95.html
Letter 2.359 4 December 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.359.html
Letter 3.1144 [10 January 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1144.html
Letter 3.1153 8 February 1806 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1153.html
Letter 3.1374 25 October 1807.,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1374.html
Letter 3.1394 10 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1394.html
Letters To, URL
Letter 1.57 18 September 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.1.57.html
