"Shelley, Harriet Westbrook"
Mentioned In, URL
Letter 4.2012 4 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2012.html
Letter 4.2013 6 January 1812 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2013.html
Letter 4.2014 8 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2014.html
Letter 4.2016 13 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2016.html
Letter 4.2022 28 January 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2022.html
Letter 5.3005 1 August 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3005.html
Letter 6.3517 [c. 29 July 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3517.html
Letter 6.3538 12 October 1820 (7 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3538.html
Letter 7.3925 26 November 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3925.html
Letters To, URL
