"Shelley, Percy
						Bysshe"
Letters To:, URL
"Letter 6.3517, [c. 29 July 1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3517.html
"Letter 6.3538, 12 October 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3538.html
Mentioned In:, URL
"Letter 4.2012, 4 January 1812 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2012.html
"Letter 4.2013, 6 January 1812 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2013.html
"Letter 4.2014, 8 January 1812 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2014.html
"Letter 4.2016, 13 January 1812 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2016.html
"Letter 4.2021, 23 January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2021.html
"Letter 4.2022, 28 January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2022.html
"Letter 4.2026, January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2026.html
"Letter 5.2987, 5–8 May [1817]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2987.html
"Letter 5.3004, 2 July 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3004.html
"Letter 5.3005, 1 August 1817 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3005.html
"Letter 6.3368, 19 October 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3368.html
"Letter 6.3516, 29 July 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3516.html
"Letter 6.3585, 19 December 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3585.html
"Letter 6.3611, 19 January 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3611.html
"Letter 6.3645, 4–20 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3645.html
"Letter 7.3776, 5 January 1822 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3776.html
"Letter 7.3866, 7 July 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3866.html
"Letter 7.3925, 26 November 1822 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3925.html
"Letter 7.3975, 6 March 1823 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3975.html
"Letter 7.4011, 3 May 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4011.html
"Letter 7.4034, 25 June 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4034.html
"Letter 7.4278, [13 November 1824] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4278.html
"Letter 7.4285, 26 November 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4285.html
"Letter 7.4289, 8 December 1824 (13 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4289.html
"Letter 7.4293, 13 December 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4293.html
