"Shield, William"
Letters To:, URL
"Letter 6.3766, [18 December 1821]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3766.html
Mentioned In:, URL
"Letter 5.3042, 26 November 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3042.html
"Letter 5.3048, 8 December 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3048.html
"Letter 5.3050, 15 December 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3050.html
"Letter 5.3051, 17 December 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3051.html
"Letter 5.3214, 28 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3214.html
"Letter 5.3221, 21 December 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3221.html
"Letter 6.3228, 1 January 1819 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3228.html
"Letter 6.3395, 3 December 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3395.html
"Letter 6.3400, 10 December 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3400.html
"Letter 6.3408, 22 December 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3408.html
"Letter 6.3465, 15 April 1820 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3465.html
"Letter 6.3559, 17 November 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3559.html
"Letter 6.3568, 27 November 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3568.html
"Letter 6.3590, 24 December 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3590.html
"Letter 6.3645, 4–20 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3645.html
"Letter 6.3646, 5 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3646.html
"Letter 6.3649, 9 March 1821 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3649.html
"Letter 6.3683, 8 May 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3683.html
"Letter 6.3684, 9 May 1821 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3684.html
"Letter 6.3685, 11 May 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3685.html
"Letter 6.3761, 12 December 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3761.html
"Letter 6.3762, 16 December 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3762.html
"Letter 7.3931, 13 December 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3931.html
"Letter 7.3984, 21 March 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3984.html
"Letter 7.4142, 24 February 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4142.html
