"Smith, Thomas
							Woodruffe"
Letters To:, URL
"Letter 3.1708, 13 November 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1708.html
"Letter 4.1873, 20 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1873.html
Mentioned In:, URL
"Letter 3.1051, 29 March 1805 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1051.html
"Letter 3.1084, 14 July 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1084.html
"Letter 3.1121, [started before 19 November 1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1121.html
"Letter 3.1248, [December 1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1248.html
"Letter 4.1768, 4 April 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1768.html
"Letter 4.1851, 10 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1851.html
"Letter 4.1892, 31 March [1811] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1892.html
"Letter 4.1910, 23 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1910.html
"Letter 4.1919, 8 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1919.html
"Letter 5.2791, 17 May 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2791.html
"Letter 6.3543, 25 October 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3543.html
