"Southey, Edith May"
Letters To:, URL
"Letter 4.1937, 8 July 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1937.html
"Letter 4.2304, 20 September 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2304.html
"Letter 6.3353, 25 September 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3353.html
"Letter 6.3470, 25–29 April 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3470.html
"Letter 7.3833, 7 May 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3833.html
"Letter 7.3839, 17 May 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3839.html
"Letter 7.3843, 21 May [1822]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3843.html
"Letter 7.4086, [15 November 1823]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4086.html
"Letter 7.4107, [24 December 1823]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4107.html
"Letter 7.4112, 30 December 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4112.html
"Letter 7.4113, [late December 1823]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4113.html
"Letter 7.4120, 11 January 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4120.html
"Letter 7.4124, 19 January 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4124.html
"Letter 7.4134, 15 February 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4134.html
"Letter 7.4155, 12 March 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4155.html
"Letter 7.4162, 27 March 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4162.html
"Letter 7.4167, 5 April 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4167.html
"Letter 7.4169, 7 April 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4169.html
"Letter 7.4182, 3 May 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4182.html
"Letter 7.4188, 17 May 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4188.html
"Letter 7.4202, 18 June 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4202.html
"Letter 7.4205, [25 June 1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4205.html
"Letter 7.4223, 24 July 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4223.html
"Letter 7.4224, [late July 1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4224.html
"Letter 7.4235, 20 August 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4235.html
"Letter 7.4245, 10 September 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4245.html
"Letter 7.4259, 6 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4259.html
"Letter 7.4266, 20 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4266.html
"Letter 7.4269, 27 October [1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4269.html
"Letter 7.4299, 20 December 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4299.html
"Letter 7.4310, [1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4310.html
Mentioned In:, URL
"Letter 3.1000, 10 December [1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1000.html
"Letter 3.1003, 16 December 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1003.html
"Letter 3.1005, 18 December 1804 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1005.html
"Letter 3.1007, 24 December [1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1007.html
"Letter 3.1008, 26 December 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1008.html
"Letter 3.1009, 29 December 18[04]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1009.html
"Letter 3.1011, 31 December 1804 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1011.html
"Letter 3.1015, 9 January 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1015.html
"Letter 3.1021, 15 January 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1021.html
"Letter 3.1026, 25 January 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1026.html
"Letter 3.1027, 26 January 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1027.html
"Letter 3.1030, [January–]11 February [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1030.html
"Letter 3.1031, 5 February 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1031.html
"Letter 3.1032, 5 February 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1032.html
"Letter 3.1036, 15 February 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1036.html
"Letter 3.1037, [started before, and continued on] 17 February
1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1037.html
"Letter 3.1038, [started before and continued on] 18 February
1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1038.html
"Letter 3.1039, 19 February 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1039.html
"Letter 3.1041, 1 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1041.html
"Letter 3.1042, 3 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1042.html
"Letter 3.1043, 4 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1043.html
"Letter 3.1044, 6 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1044.html
"Letter 3.1045, 7 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1045.html
"Letter 3.1047, 9 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1047.html
"Letter 3.1048, 13 March 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1048.html
"Letter 3.1052, March–5 April [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1052.html
"Letter 3.1053, 4 April 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1053.html
"Letter 3.1061, 18 April 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1061.html
"Letter 3.1065, 11 May 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1065.html
"Letter 3.1068, 19 May 1805 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1068.html
"Letter 3.1069, 22 May 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1069.html
"Letter 3.1076, 28 June 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1076.html
"Letter 3.1087, 26 July 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1087.html
"Letter 3.1091, 5 August 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1091.html
"Letter 3.1095, 22 August 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1095.html
"Letter 3.1096, 24 August 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1096.html
"Letter 3.1101, 2 September [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1101.html
"Letter 3.1103, 4 September [1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1103.html
"Letter 3.1108, 1 October 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1108.html
"Letter 3.1112, 14 October 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1112.html
"Letter 3.1116, 1 November 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1116.html
"Letter 3.1118, 13 November 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1118.html
"Letter 3.1120, 15–18 November [1805] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1120.html
"Letter 3.1121, [started before 19 November 1805]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1121.html
"Letter 3.1126, 27 November 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1126.html
"Letter 3.1127, 28 November 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1127.html
"Letter 3.1130, 7 December 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1130.html
"Letter 3.1133, 17 December 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1133.html
"Letter 3.1141, 1–5 January 1806 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1141.html
"Letter 3.1146, 11 January 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1146.html
"Letter 3.1149, 24 January 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1149.html
"Letter 3.1150, 31 January 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1150.html
"Letter 3.1151, 3 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1151.html
"Letter 3.1153, 8 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1153.html
"Letter 3.1154, 10 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1154.html
"Letter 3.1156, 11 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1156.html
"Letter 3.1157, 15 February 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1157.html
"Letter 3.1163, 5 March 1806 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1163.html
"Letter 3.1168, 19 March [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1168.html
"Letter 3.1170, 22 March [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1170.html
"Letter 3.1172, 5 April 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1172.html
"Letter 3.1174, 12 April 1806 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1174.html
"Letter 3.1178, [c. 12 May 1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1178.html
"Letter 3.1179, 13 May 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1179.html
"Letter 3.1184, [c. 21 May 1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1184.html
"Letter 3.1186, 22 May 1806 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1186.html
"Letter 3.1187, 26 May 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1187.html
"Letter 3.1191, 18 June 1806 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1191.html
"Letter 3.1194, 26 June 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1194.html
"Letter 3.1199, 5 July 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1199.html
"Letter 3.1201, 11 July [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1201.html
"Letter 3.1204, 28[-29] July 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1204.html
"Letter 3.1205, 1 August [1806]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1205.html
"Letter 3.1206, 5 August 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1206.html
"Letter 3.1210, 11 August 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1210.html
"Letter 3.1212, 17 August 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1212.html
"Letter 3.1214, [started before, and continued on] 3 September
1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1214.html
"Letter 3.1215, 13 September 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1215.html
"Letter 3.1216, [started before, and continued on] 17 September
1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1216.html
"Letter 3.1230, 24 October 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1230.html
"Letter 3.1233, 3 November 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1233.html
