"Southey, Edward"
Letters To:, URL
Mentioned In:, URL
"Letter 1.103, 7 September 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
"Letter 1.109, [19 October 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.109.html
"Letter 1.110, 19 [October] 1794",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.110.html
"Letter 1.158, 1 June 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.158.html
"Letter 1.166, 25 July 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.166.html
"Letter 1.207, 31 March 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.207.html
"Letter 1.267, 2 November 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.267.html
"Letter 1.61, 20 October 1793 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.61.html
"Letter 1.63, 29 [–30] October 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.63.html
"Letter 1.71, 11 December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.71.html
"Letter 1.72, 12 [–15] December 1793",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.72.html
"Letter 1.98, 1–21 August [1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.98.html
"Letter 2.349, 26 September 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.349.html
"Letter 2.351, 5 October [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.351.html
"Letter 2.352, 14[–15] October 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.352.html
"Letter 2.353, 22 October 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.353.html
"Letter 2.354, 29 October 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.354.html
"Letter 2.379, 12 February 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.379.html
"Letter 2.380, 12 February 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.380.html
"Letter 2.386, 5 March 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.386.html
"Letter 2.392, 28 March 1799 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.392.html
"Letter 2.394, 2 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.394.html
"Letter 2.401, [c. 24 April 1799] (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.401.html
"Letter 2.411, 19 May 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.411.html
"Letter 2.416, 10 June 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.416.html
