Southey  Eliza
Mentioned In, URL
Letter 1.259 30 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.259.html
Letter 2.634 2-3 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.634.html
Letter 3.1633 22 May 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1633.html
Letter 5.2801 [c. May 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2801.html
Letter 5.3096 17 March 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3096.html
Letter 6.3486 25 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
Letter 6.3656 20 March 1821 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3656.html
Letter 7.3949 8 January 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3949.html
Letter 7.3953 19 January 1823–31 July 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3953.html
Letters To, URL
