"Southey, Henry Herbert"
Mentioned In, URL
Letter 1.103 7 September 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.103.html
Letter 1.109 [19 October 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.109.html
Letter 1.110 19 [October] 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.110.html
Letter 1.113 6 November [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.113.html
Letter 1.116 1 December [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.116.html
Letter 1.166 25 July 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.166.html
Letter 1.186 [c. November 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.186.html
Letter 1.207 31 March 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.207.html
Letter 1.248 16 August 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.248.html
Letter 1.275 3 [– 4] December 1797 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.275.html
Letter 1.280 24 December 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.280.html
Letter 1.71 11 December 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.71.html
Letter 1.72 12 [–15] December 1793,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.72.html
Letter 1.98 1–21 August [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.98.html
Letter 2.283 12 January 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.283.html
Letter 2.286 24[-26] January 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.286.html
Letter 2.288 18 February 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.288.html
Letter 2.321 3 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.321.html
Letter 2.323 6 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.323.html
Letter 2.333 14 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.333.html
Letter 2.354 29 October 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.354.html
Letter 2.357 11 November 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.357.html
Letter 2.358 3 December 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.358.html
Letter 2.359 4 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.359.html
Letter 2.360 14 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.360.html
Letter 2.362 27 December 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.362.html
Letter 2.365 2 January 1799 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.365.html
Letter 2.368 4 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.368.html
Letter 2.369 5 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.369.html
Letter 2.384 26 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.384.html
Letter 2.385 1 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.385.html
Letter 2.386 5 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.386.html
Letter 2.392 28 March 1799 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.392.html
Letter 2.398 15 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.398.html
Letter 2.405 9 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.405.html
Letter 2.423 19–22 July 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.423.html
Letter 2.449 22 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.449.html
Letter 2.451 26 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.451.html
Letter 2.460 8 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.460.html
Letter 2.466 [c. 23 December 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.466.html
