"Southey, John Cannon"
Mentioned In, URL
Letter 1.207 31 March 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.207.html
Letter 1.28 21 October 1792,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.28.html
Letter 1.71 11 December 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.71.html
Letter 1.98 1–21 August [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.98.html
Letter 2.318 27 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.318.html
Letter 2.323 6 June 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.323.html
Letter 2.327 14 June [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.327.html
Letter 2.380 12 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.380.html
Letter 2.394 2 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.394.html
Letter 2.434 6 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.434.html
Letter 2.700 30 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.700.html
Letter 2.704 [6 August 1802] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.704.html
Letter 2.706 [14 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.706.html
Letter 2.707 [15 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.707.html
Letter 2.708 [started before and continued on] 19 August 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.html
Letter 2.712 1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.712.html
Letter 2.713 1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.713.html
Letter 2.715 5 September 1802 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.715.html
Letter 2.716 5 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.716.html
Letter 2.718 14 September [1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.718.html
Letter 2.723 5 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.723.html
Letter 2.730 26 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.730.html
Letter 3.1006 18 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1006.html
Letter 3.1008 26 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1008.html
Letter 3.1025 24 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1025.html
Letter 3.1030 [January–]11 February [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1030.html
Letter 3.1042 3 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1042.html
Letter 3.1043 4 March 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1043.html
Letter 3.1052 March–5 April [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1052.html
Letter 3.1066 12 May 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1066.html
Letter 3.1095 22 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1095.html
Letter 3.1100 [c. 2 September 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1100.html
Letter 3.1104 5 September 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1104.html
Letter 3.1107 [September 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1107.html
Letter 3.1120 15–18 November [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1120.html
Letter 3.1129 6 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1129.html
Letter 3.1130 7 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1130.html
Letter 3.1138 31 December 1805–] 1 January 1806 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1138.html
Letter 3.1141 1–5 January 1806 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1141.html
