"Southey, Katharine"
Letters To:, URL
"Letter 6.3477, 4 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3477.html
"Letter 6.3487, 28 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3487.html
"Letter 6.3499, 26 June 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3499.html
Mentioned In:, URL
"Letter 4.1784, 12 June 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1784.html
"Letter 4.1785, 13 June 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1785.html
"Letter 4.1787, 24 June 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1787.html
"Letter 4.1794, 14 July [1810]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1794.html
"Letter 4.1797, 1 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1797.html
"Letter 4.1798, 3 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1798.html
"Letter 4.1799, 9 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1799.html
"Letter 4.1801, 13 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1801.html
"Letter 4.1803, 27 August 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1803.html
"Letter 4.1805, 12 September 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1805.html
"Letter 4.1811, 3 October 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1811.html
"Letter 4.1835, 5 December 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1835.html
"Letter 4.1856, 22 January 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1856.html
"Letter 4.1865, 5 February 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1865.html
"Letter 4.1888, 23 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1888.html
"Letter 4.1889, 24 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1889.html
"Letter 4.1891, 28 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1891.html
"Letter 4.1894, 31 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1894.html
"Letter 4.1899, 8 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1899.html
"Letter 4.1911, 26 April 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1911.html
"Letter 4.1919, 8 May 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1919.html
"Letter 4.1937, 8 July 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1937.html
"Letter 4.2014, 8 January 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2014.html
"Letter 4.2083, 25 April 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2083.html
"Letter 4.2116, 17[–19] June 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2116.html
"Letter 4.2124, 18 July 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2124.html
"Letter 4.2142, 6 September 1812 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2142.html
"Letter 4.2154, 7 October 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2154.html
"Letter 4.2159, 19 October 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2159.html
"Letter 4.2178, 16 November 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2178.html
"Letter 4.2193, 30 December 1812 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2193.html
"Letter 4.2197, 3 January 1813 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2197.html
"Letter 4.2215, 1 February 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2215.html
"Letter 4.2224, 24 February 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2224.html
"Letter 4.2267, 6 June 1813 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2267.html
"Letter 4.2304, 20 September 1813 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2304.html
"Letter 4.2337, 28 November 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2337.html
"Letter 4.2370, 25 January 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2370.html
"Letter 4.2378, 8 February 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2378.html
"Letter 4.2383, 27 February 1814 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2383.html
"Letter 4.2394, 22 March 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2394.html
"Letter 4.2425, 21 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2425.html
"Letter 4.2430, 29 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2430.html
"Letter 4.2499, 11 November 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2499.html
"Letter 4.2574, 17 March 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2574.html
"Letter 4.2669, 9 November 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2669.html
"Letter 4.2675, 6 December 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2675.html
"Letter 5.2756, [17 April 1816]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2756.html
"Letter 5.2786, 10 May 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2786.html
"Letter 5.2817, 29 June [1816]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2817.html
"Letter 5.2829, 13 August 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2829.html
"Letter 5.2849, 5 October 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2849.html
"Letter 5.2853, 18 October 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2853.html
"Letter 5.2892, 1–3 January [1817]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2892.html
"Letter 5.2909, 29 January 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2909.html
"Letter 5.2912, 1 February 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2912.html
"Letter 5.2923, 19 February 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2923.html
"Letter 5.2970, Easter Sunday [6 April 1817]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2970.html
"Letter 5.3073, 31 January 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3073.html
"Letter 5.3107, 29 March 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3107.html
"Letter 6.3242, 8 February 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3242.html
"Letter 6.3257, 5 March 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3257.html
"Letter 6.3266, 14 March 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3266.html
"Letter 6.3284, 22 April 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3284.html
"Letter 6.3294, 14 May 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3294.html
"Letter 6.3299, [c. 21 May] 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3299.html
"Letter 6.3305, 29 May 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3305.html
"Letter 6.3318, 15 June 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3318.html
"Letter 6.3330, 17 July 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3330.html
"Letter 6.3348, 7 September 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3348.html
"Letter 6.3362, 13 October 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3362.html
"Letter 6.3389, 16 November 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3389.html
"Letter 6.3430, 2 February 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3430.html
"Letter 6.3436, 10–12 February 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3436.html
"Letter 6.3451, 11 March [1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3451.html
"Letter 6.3457, 26 March 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3457.html
"Letter 6.3462, 5 April 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3462.html
"Letter 6.3472, 26 April 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3472.html
"Letter 6.3474, 1 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3474.html
"Letter 6.3481, 12 [May 1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
"Letter 6.3483, 15 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3483.html
"Letter 6.3486, 25 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
"Letter 6.3490, [31] May [1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3490.html
"Letter 6.3498, 25 June 1820 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3498.html
"Letter 6.3504, 3 July 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3504.html
"Letter 6.3514, 26 July 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3514.html
"Letter 6.3525, 15 August 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3525.html
"Letter 6.3528, 19 August 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3528.html
