Southey  Louisa Gonne
Mentioned In, URL
Letter 4.2390 11 March 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2390.html
Letter 4.2492 22[–23] October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2492.html
Letter 4.2500 11 November 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2500.html
Letter 4.2507 30 November 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2507.html
Letter 4.2520 c. 16 December 1814–]13 January 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2520.html
Letter 4.2530 27 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2530.html
Letter 4.2573 16 March 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2573.html
Letter 4.2590 21 April 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2590.html
Letter 4.2609 2 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2609.html
Letter 4.2621 24 June 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2621.html
Letter 4.2641 1 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2641.html
Letter 4.2645 15 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2645.html
Letter 4.2647 18 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2647.html
Letter 4.2649 23 August 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2649.html
Letter 4.2650 29 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2650.html
Letter 4.2652 5 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2652.html
Letter 4.2653 6 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2653.html
Letter 4.2654 6 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2654.html
Letter 4.2676 6 December 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2676.html
Letter 5.2699 14 January 1816 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2699.html
Letter 5.2713 11 February 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2713.html
Letter 5.2723 23 February 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2723.html
Letter 5.2744 23 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2744.html
Letter 5.2750 3 [April] 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2750.html
Letter 5.2756 [17 April 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2756.html
Letter 5.2784 8 May 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2784.html
Letter 5.2811 19 June 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2811.html
Letter 5.2854 25 October 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2854.html
Letter 5.2869 30 November 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2869.html
Letter 5.2896 6 January 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2896.html
Letter 5.2926 23 February 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2926.html
Letter 5.2956 25 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2956.html
Letter 5.2959 29 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2959.html
Letter 5.2960 31 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2960.html
Letter 5.2969 Easter Sunday [6 April] 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2969.html
Letter 5.2996 11 May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2996.html
Letter 5.3019 26 August 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3019.html
Letter 5.3022 5 September 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3022.html
Letter 5.3043 28 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3043.html
Letter 5.3044 30 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3044.html
Letter 5.3057 26 December 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3057.html
Letter 5.3074 7 February 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3074.html
Letter 5.3115 [c. 8 April 1818],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3115.html
Letter 5.3147 5 June 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3147.html
Letter 5.3159 7 July 1818 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3159.html
Letter 5.3206 6 November 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3206.html
Letter 5.3222 21 December 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3222.html
Letter 6.3245 13 February 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3245.html
Letter 6.3252 24 February 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3252.html
Letter 6.3258 5 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3258.html
Letter 6.3265 13 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3265.html
Letter 6.3275 24 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3275.html
Letter 6.3282 16 April 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3282.html
Letter 6.3288 28 April 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3288.html
Letter 6.3316 13 June 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3316.html
Letter 6.3319 16 June 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3319.html
Letter 6.3338 [c. 31 July 1819],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3338.html
Letter 6.3356 3 October 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3356.html
Letter 6.3371 26 October 1819 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3371.html
Letter 6.3377 1 November 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3377.html
Letter 6.3383 7 November 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3383.html
Letter 6.3419 16 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3419.html
Letter 6.3446 25 February 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3446.html
Letter 6.3451 11 March [1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3451.html
Letter 6.3460 1 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3460.html
Letter 6.3474 1 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3474.html
Letter 6.3483 15 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3483.html
Letter 6.3498 25 June 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3498.html
Letter 6.3532 19 September 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3532.html
Letter 6.3553 12 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3553.html
Letter 6.3564 22 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3564.html
Letter 6.3607 15 January 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3607.html
Letter 6.3637 21 February 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3637.html
Letter 6.3642 27 February 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3642.html
Letter 6.3669 9 April 1821 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3669.html
Letter 6.3676 Easter Monday [23 April] 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3676.html
Letter 6.3681 4 May 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3681.html
Letter 6.3684 9 May 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3684.html
Letter 6.3735 15 October 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3735.html
Letter 6.3739 19 October 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3739.html
Letter 7.3814 19 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3814.html
Letter 7.3837 13 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3837.html
Letter 7.3854 14 June 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3854.html
Letter 7.3874 22 July 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3874.html
Letter 7.3889 30 August 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3889.html
Letter 7.3893 6 September 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3893.html
Letter 7.3910 30 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3910.html
Letter 7.3939 21 December 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3939.html
Letter 7.3960 28 January 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3960.html
Letter 7.3998 12 April 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3998.html
Letter 7.4012 5 May 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4012.html
Letter 7.4036 4 July 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4036.html
Letter 7.4069 17 October 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4069.html
Letter 7.4089 21 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4089.html
Letter 7.4094 26 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
Letter 7.4148 [c. 1 March 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4148.html
Letter 7.4150 5 March 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4150.html
Letter 7.4155 12 March 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4155.html
Letter 7.4158 18 March 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4158.html
Letter 7.4162 27 March 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4162.html
