"Southey, Margaret Edith"
Mentioned In, URL
Letter 2.681 2 June 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.681.html
Letter 2.685 28 June [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.685.html
Letter 2.686 [28 June 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.686.html
Letter 2.689 4 July [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.689.html
Letter 2.702 3 August 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.702.html
Letter 2.707 [15 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.707.html
Letter 2.708.1 [c. 21 August 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.708.1.html
Letter 2.709 24 August [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.709.html
Letter 2.710 [31 August-]1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.710.html
Letter 2.711 1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.711.html
Letter 2.712 1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.712.html
Letter 2.713 1 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.713.html
Letter 2.714 2 September 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.714.html
Letter 2.715 5 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.715.html
Letter 2.716 5 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.716.html
Letter 2.717 7 September 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.717.html
Letter 2.718 14 September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.718.html
Letter 2.719 [19] September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.719.html
Letter 2.720 [21-]23 September [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.720.html
Letter 2.723 5 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.723.html
Letter 2.727 14 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.727.html
Letter 2.729 19 October 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.729.html
Letter 2.730 26 October [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.730.html
Letter 2.734 21 November 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.734.html
Letter 2.737 [started before and continued on] 28 November 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.737.html
Letter 2.742 11 December 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.742.html
Letter 2.743 19 December 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.743.html
Letter 2.744 21 December 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.744.html
Letter 2.748 7 January 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.748.html
Letter 2.749 11 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.749.html
Letter 2.751 12 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.751.html
Letter 2.752 14 January 1803 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.752.html
Letter 2.754 23 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.754.html
Letter 2.763 6 March 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.763.html
Letter 2.765 9 March 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.765.html
Letter 2.767 27 March 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.767.html
Letter 2.770 3 April 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.770.html
Letter 2.773 19 April 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.773.html
Letter 2.774 19 April 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.774.html
Letter 2.775 22 April 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.775.html
