"Southey, Mary"
Mentioned In, URL
Letter 1.113 6 November [1794] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.113.html
Letter 1.116 1 December [1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.116.html
Letter 1.259 30 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.259.html
Letter 2.290 3 March 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.290.html
Letter 2.351 5 October [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.351.html
Letter 2.434 6 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.434.html
Letter 3.1004 17 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1004.html
Letter 3.1085 [14 July 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1085.html
Letter 3.1141 1–5 January 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1141.html
Letter 3.1162 [c. early March 1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1162.html
Letter 3.1163 5 March 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1163.html
Letter 3.1201 11 July [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1201.html
Letter 3.1203 19 July 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1203.html
Letter 3.1239 25 November 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1239.html
Letter 3.1315 [April-May 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1315.html
Letter 3.1355 28 August 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1355.html
Letter 3.1430.1 [7 March 1808] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1430.1.html
Letter 3.1442 16 April 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1442.html
Letter 3.1443 17 April 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1443.html
Letter 3.1477 11 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1477.html
Letter 3.1478 11 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1478.html
Letter 3.1480 16 July 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1480.html
Letter 3.1493 [mid-August 1808],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1493.html
Letter 3.1500 [late August/early September 1808] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1500.html
Letter 3.1586 21 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1586.html
Letter 3.1722 14 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1722.html
Letter 3.978 12 September 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.978.html
Letter 3.981 [started before and continued on] 11 October [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.981.html
Letter 4.1746 11 February 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1746.html
Letter 4.1754 6 March 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1754.html
Letter 4.1836 5 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1836.html
Letter 4.1905 20 April 1811 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1905.html
Letter 4.1907 20 April 1811 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1907.html
Letter 4.1908 21 April 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1908.html
Letter 4.1909 22 April 1811 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1909.html
Letter 4.1910 23 April 1811 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1910.html
Letter 4.1919 8 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1919.html
Letter 4.1923 15 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1923.html
Letter 4.1927 29 May 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1927.html
