Standert  Hugh Chudleigh
Mentioned In, URL
Letter 4.1746 11 February 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1746.html
Letter 4.1990 29 November 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1990.html
Letter 4.2084 25 April 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2084.html
Letter 4.2357 28 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2357.html
Letter 4.2384 2 March 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2384.html
Letter 4.2390 11 March 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2390.html
Letter 7.3811 8 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3811.html
Letter 7.3816 25 March 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3816.html
Letters To, URL
Letter 3.1722 14 December 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1722.html
Letter 4.1981 10 November 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.1981.html
Letter 4.2353 21 December 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.4.2353.html
