"Strachey, George"
Mentioned In, URL
Letter 1.105 [c. 27 September 1794],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.105.html
Letter 1.119 5 January 1795 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.119.html
Letter 1.130 [1 July 1795],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.130.html
Letter 1.15 [c. 18 June 1792],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.15.html
Letter 1.162 26 June 1796 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.162.html
Letter 1.2 10 [–11] December 1791,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.2.html
Letter 1.32 29 November [1792] (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.32.html
Letter 1.34 6 December 1792 (8 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.34.html
Letter 1.51 8–16 June 1793 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.51.html
Letter 1.88 26 [–c. 29] April 1794,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.88.html
Letter 2.316 [11 May 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.316.html
Letter 2.327 14 June [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.327.html
Letter 2.375 27 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.375.html
Letter 2.493 23 February 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.493.html
Letter 2.494 28 February 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.494.html
Letter 2.538 23 July[–before 23 August] 1800 (7 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.538.html
Letter 2.549 [October 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.549.html
Letter 2.602 20 August [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.602.html
Letter 2.729 19 October 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.729.html
Letter 3.1057 11 April 1805 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1057.html
Letter 3.1331 11 June 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1331.html
Letter 4.2030 4 February 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2030.html
Letter 4.2141 1 September 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2141.html
Letter 4.2394 22 March 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2394.html
Letter 4.2601 c. 20 May 1815 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2601.html
Letter 5.3121 13 April 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3121.html
Letter 5.3210 16 November 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3210.html
Letter 6.3283 19 April 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3283.html
Letter 6.3412 5 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3412.html
Letter 6.3414 7 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3414.html
Letter 6.3486 25 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.html
Letter 6.3552 12 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3552.html
Letter 6.3609 17 January 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3609.html
Letter 7.3808 27 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3808.html
Letter 7.3934 15 December 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3934.html
Letter 7.4094 26 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4094.html
Letter 7.4187 [16 May 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4187.html
Letter 7.4240 29 August–17 October 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4240.html
Letters To, URL
Letter 2.314 11 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.2.314.html
