Stuart  Daniel
Mentioned In, URL
Letter 2.352 14[–15] October 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.352.html
Letter 2.369 5 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.369.html
Letter 2.404 [early May 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.404.html
Letter 2.405 9 May 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.405.html
Letter 2.406 12 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.406.html
Letter 2.408 13 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.408.html
Letter 2.459 5 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.459.html
Letter 2.462 15 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.462.html
Letter 2.466 [c. 23 December 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.466.html
Letter 2.469 27 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.469.html
Letter 2.477 16 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.477.html
Letter 2.564 20[-24] January [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.564.html
Letter 2.597 3 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.597.html
Letter 2.615 16 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.615.html
Letter 2.636 [c. 4 December 1801] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.636.html
Letter 2.653 [28 January 1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.653.html
Letter 2.750 12 January 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.750.html
Letter 2.766 14 March 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.766.html
Letter 2.775 22 April 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.775.html
Letter 2.782 12 May 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.782.html
Letter 2.837 8 September [1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.837.html
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 2.857 [27 November 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.857.html
Letter 3.1094 20 August [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1094.html
Letter 3.1095 22 August 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1095.html
Letter 3.1120 15–18 November [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1120.html
Letter 3.1186 22 May 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1186.html
Letter 3.1389 5 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1389.html
Letter 3.1393 9 December 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1393.html
Letter 3.1416 14 January 1808.,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1416.html
Letter 3.1427 12 February 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1427.html
Letter 3.1561 4 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1561.html
Letter 3.1563 10 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1563.html
Letter 3.1574 3 February 1809 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1574.html
Letter 3.1578 7 February 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1578.html
Letter 3.1600 14–15 March 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1600.html
Letter 3.1618 26 April 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1618.html
Letter 3.1649 6 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1649.html
Letter 3.1702 26 [October 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1702.html
Letter 3.1704 28 October 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1704.html
Letter 3.1713 25 November 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1713.html
Letter 3.911 12 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.911.html
Letter 3.951 11 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.951.html
Letter 3.955 16 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.955.html
Letter 4.1732 12 January 1810 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1732.html
Letter 4.1843 23 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1843.html
Letter 4.1964 11 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1964.html
Letter 4.2308 25 September 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2308.html
Letter 4.2309 28 September –1 October] 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2309.html
Letter 4.2313 16[–22] October 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2313.html
Letter 4.2362 11 January 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2362.html
Letter 4.2366.1 21 January 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2366.1.html
Letter 4.2371 26 January 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2371.html
Letter 4.2375 1 February 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2375.html
Letter 4.2640 23 July 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2640.html
Letter 4.2648 22 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2648.html
Letter 5.2745 25 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2745.html
Letter 5.2833 31 August 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2833.html
Letter 5.2841 11 September 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2841.html
