"Sunderlin, Philippa Elizabeth Dorothy Malone Rooper"
Mentioned In, URL
Letter 4.2165 29 October 1812,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2165.html
Letter 4.2208 20 January 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2208.html
Letter 4.2221 13 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2221.html
Letter 4.2223 22 February 1813 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2223.html
Letter 4.2648 22 August 1815 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2648.html
Letter 4.2649 23 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2649.html
Letter 4.2653 6 September 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2653.html
Letter 6.3349 7 September 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3349.html
Letters To, URL
