"Taylor, Henry"
Letters To:, URL
"Letter 7.4190, 26 May 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4190.html
"Letter 7.4251, 16 September 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4251.html
Mentioned In:, URL
"Letter 7.3901, 4 October 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3901.html
"Letter 7.3977, 7 March 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3977.html
"Letter 7.3992, Good Friday [28 March] 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3992.html
"Letter 7.4062, 22 September 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4062.html
"Letter 7.4070, 20 October 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4070.html
"Letter 7.4105, 22 December 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4105.html
"Letter 7.4106, 24 December[–26 December] 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4106.html
"Letter 7.4234, 19[–20] August 1824 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4234.html
"Letter 7.4235, 20 August 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4235.html
"Letter 7.4303, 24 December 1824 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4303.html
"Letter 7.4305, 24 December 1824 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4305.html
"Letter 7.4309, 31 December 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4309.html
