"Thomas, Dr"
Mentioned In, URL
Letter 2.353 22 October 1798 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.353.html
Letter 2.357 11 November 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.357.html
Letter 2.384 26 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.384.html
Letter 2.392 28 March 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.392.html
Letter 2.394 2 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.394.html
Letter 2.495 [12 March 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.495.html
Letter 2.736 25 November 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.736.html
Letter 2.799 [21 June 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.799.html
Letter 3.1026 25 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1026.html
Letter 3.1028 26 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1028.html
Letter 3.1029 26 January 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1029.html
Letter 3.1164 14 March 1806 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1164.html
Letter 3.1166 17 March 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1166.html
Letter 3.1167 18 [March] 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1167.html
Letter 3.1168 19 March [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1168.html
Letter 3.1170 22 March [1806],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1170.html
Letter 3.1174 12 April 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1174.html
Letter 3.1279 23 February 1807 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1279.html
Letter 3.956 27 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.956.html
Letter 3.960 [c. 4 July 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.960.html
Letter 3.967 19 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.967.html
Letter 3.978 12 September 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.978.html
Letter 3.981 [started before and continued on] 11 October [1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.981.html
Letters To, URL
